INDEX,TARGET_AMT,TARGET_FLAG
3,1696.2468,1.0
9,441.08005,1.0
10,-797.8396,0.0
18,424.45996,1.0
21,626.4113,1.0
30,1280.6941,1.0
31,4295.124,1.0
37,8140.2686,1.0
39,276.02036,1.0
47,101.129456,1.0
60,885.264,1.0
62,3536.056,1.0
63,4746.8604,1.0
64,828.50555,1.0
68,-68.1614,0.0
75,2391.6663,1.0
76,10693.247,1.0
83,554.75433,1.0
87,9143.963,1.0
92,3180.7021,1.0
98,4523.462,1.0
106,1027.5588,1.0
107,3659.6016,1.0
113,1390.8309,1.0
120,3474.1953,1.0
123,4403.999,1.0
125,-138.31947,0.0
126,1140.8904,1.0
128,353.04196,1.0
129,1675.3783,1.0
131,966.66595,1.0
135,5153.0776,1.0
141,275.47925,1.0
147,-1044.8982,0.0
148,1217.2697,1.0
151,1704.2919,1.0
156,-560.61523,0.0
157,-688.3072,0.0
174,325.1437,1.0
186,20310.562,1.0
193,792.681,1.0
195,2279.7263,1.0
212,-134.02975,0.0
213,1705.8245,1.0
217,-988.9439,0.0
223,832.78577,1.0
226,1625.4248,1.0
228,8030.268,1.0
230,385.17154,1.0
241,5158.293,1.0
243,-571.71246,0.0
249,1366.849,1.0
281,4232.919,1.0
288,36.858074,1.0
294,4271.734,1.0
295,394.6473,1.0
300,870.50525,1.0
302,35.54609,1.0
303,905.2677,1.0
308,1302.9476,1.0
319,748.275,1.0
320,-187.69969,0.0
324,343.8065,1.0
331,-1759.042,0.0
343,-424.9871,0.0
347,1824.0862,1.0
348,7718.34,1.0
350,812.7014,1.0
357,1375.4297,1.0
358,-516.8957,0.0
360,521.4319,1.0
366,734.7898,1.0
367,-1187.8274,0.0
368,1745.255,1.0
376,9797.8,1.0
380,645.05597,1.0
388,3450.7861,1.0
396,781.9883,1.0
398,261.78293,1.0
403,-141.32416,0.0
410,2481.249,1.0
412,5526.384,1.0
420,2022.4686,1.0
434,3324.2517,1.0
440,1658.5522,1.0
450,7886.7935,1.0
453,5031.3975,1.0
464,1173.4069,1.0
465,756.3934,1.0
466,8653.245,1.0
473,1573.7622,1.0
476,1414.7234,1.0
478,-2339.4817,0.0
479,669.4163,1.0
493,-329.29654,0.0
497,2364.8406,1.0
503,582.14136,1.0
504,-161.77869,0.0
505,1756.5787,1.0
507,5190.3916,1.0
513,1346.6859,1.0
519,3978.117,1.0
521,1771.2712,1.0
522,3012.5425,1.0
545,9044.036,1.0
549,2357.3357,1.0
551,956.2371,1.0
556,363.32547,1.0
557,2928.296,1.0
559,1993.0032,1.0
560,3764.3457,1.0
566,-28.286148,0.0
569,3661.8425,1.0
573,695.8861,1.0
578,2008.629,1.0
579,1218.0492,1.0
582,448.78003,1.0
596,1698.7238,1.0
598,3036.3904,1.0
599,5539.88,1.0
602,-385.6464,0.0
605,5109.9014,1.0
617,829.38165,1.0
619,1089.7224,1.0
630,2533.7056,1.0
634,5307.1978,1.0
643,2173.1155,1.0
645,2073.2847,1.0
647,2611.2651,1.0
649,730.4742,1.0
656,833.83026,1.0
657,534.4275,1.0
658,890.58923,1.0
667,-0.8419614,0.0
692,2712.3613,1.0
693,-587.38806,0.0
698,5133.5825,1.0
699,4795.132,1.0
700,-561.06775,0.0
704,178.54181,1.0
707,533.2186,1.0
708,5136.8037,1.0
709,273.91052,1.0
713,81.40362,1.0
714,159.50703,1.0
716,16088.628,1.0
718,577.1366,1.0
722,1136.9905,1.0
729,366.6291,1.0
731,-426.57422,0.0
733,7083.5283,1.0
746,2649.1836,1.0
747,5090.644,1.0
748,1475.0371,1.0
753,1461.4828,1.0
757,905.0096,1.0
763,759.244,1.0
767,1013.52747,1.0
774,543.09296,1.0
776,1441.7041,1.0
788,4302.208,1.0
794,1991.0359,1.0
799,1702.7812,1.0
803,1425.8336,1.0
806,864.7962,1.0
807,1804.7375,1.0
811,1091.5808,1.0
816,-72.450134,0.0
818,1081.0507,1.0
819,1096.7151,1.0
831,953.849,1.0
835,3762.7412,1.0
837,2008.1206,1.0
841,5905.8315,1.0
846,1061.8954,1.0
856,1201.7307,1.0
861,3955.2253,1.0
862,1265.4315,1.0
863,5209.6006,1.0
865,545.83704,1.0
871,-442.1513,0.0
879,2621.1052,1.0
880,354.501,1.0
881,518.398,1.0
885,-264.38074,0.0
887,760.1282,1.0
892,335.67667,1.0
898,-368.90482,0.0
900,430.2805,1.0
904,1757.779,1.0
906,3458.4954,1.0
910,3863.7668,1.0
912,3889.4368,1.0
913,242.50607,1.0
919,-236.28418,0.0
924,2048.2466,1.0
925,3009.268,1.0
930,127.95958,1.0
940,1260.6377,1.0
941,1045.5952,1.0
946,546.64844,1.0
949,4556.8,1.0
951,700.96515,1.0
962,276.68805,1.0
966,-227.78685,0.0
967,-113.57716,0.0
971,5611.0547,1.0
981,240.34445,1.0
982,2426.8125,1.0
983,448.49582,1.0
984,961.6065,1.0
989,5133.631,1.0
990,1900.8262,1.0
992,943.2926,1.0
995,1270.6417,1.0
996,1372.5526,1.0
998,1910.4203,1.0
1001,755.1244,1.0
1007,749.6083,1.0
1008,462.71915,1.0
1016,1245.7919,1.0
1022,-239.07785,0.0
1027,1761.8397,1.0
1032,546.42535,1.0
1033,287.8994,1.0
1041,2076.639,1.0
1065,2602.752,1.0
1074,8757.711,1.0
1075,1201.2086,1.0
1081,609.53314,1.0
1094,847.5443,1.0
1099,-181.33186,0.0
1105,-48.454197,0.0
1123,1777.1504,1.0
1135,15555.637,1.0
1142,905.8893,1.0
1155,-355.55032,0.0
1169,46.32422,1.0
1176,1781.5879,1.0
1178,3195.2668,1.0
1180,-486.30664,0.0
1184,632.46045,1.0
1185,5993.8364,1.0
1193,1297.337,1.0
1196,395.09006,1.0
1199,938.3014,1.0
1203,908.1688,1.0
1205,1502.1388,1.0
1207,-9.367306,0.0
1208,771.36975,1.0
1212,2493.8987,1.0
1213,2944.4656,1.0
1222,7818.6206,1.0
1223,309.23462,1.0
1226,1227.9911,1.0
1227,2688.4558,1.0
1229,196.78177,1.0
1230,2199.0603,1.0
1231,3536.1438,1.0
1241,2180.4922,1.0
1243,207.81421,1.0
1244,790.51996,1.0
1246,-921.3196,0.0
1248,1211.5541,1.0
1249,119.70017,1.0
1252,302.80325,1.0
1261,1922.5061,1.0
1275,-532.1266,0.0
1281,8451.922,1.0
1285,2242.7136,1.0
1288,2829.3801,1.0
1290,-123.76123,0.0
1291,5687.116,1.0
1304,2403.8894,1.0
1305,2461.4316,1.0
1323,-808.4603,0.0
1342,11142.272,1.0
1348,750.00757,1.0
1353,996.7985,1.0
1363,1109.2589,1.0
1371,408.34836,1.0
1372,2807.3455,1.0
1378,-644.73505,0.0
1381,1420.2527,1.0
1382,1699.5719,1.0
1393,8339.567,1.0
1394,424.24472,1.0
1398,2589.1436,1.0
1404,980.42584,1.0
1405,4804.3877,1.0
1419,1260.187,1.0
1421,-211.69608,0.0
1426,220.67474,1.0
1431,2823.4336,1.0
1435,16176.489,1.0
1437,878.20544,1.0
1438,1545.1624,1.0
1442,971.87115,1.0
1464,597.0089,1.0
1471,4054.1936,1.0
1473,580.53125,1.0
1476,-220.09021,0.0
1478,1608.8671,1.0
1479,4.5164967,1.0
1487,1872.1727,1.0
1492,3539.4807,1.0
1496,-196.51457,0.0
1497,1777.5862,1.0
1515,406.81088,1.0
1519,1033.2856,1.0
1522,2261.1204,1.0
1526,689.3719,1.0
1537,2788.9265,1.0
1538,3874.8826,1.0
1540,313.75955,1.0
1543,940.3987,1.0
1548,1537.4545,1.0
1549,4940.463,1.0
1556,1764.2308,1.0
1564,-574.76843,0.0
1570,813.0998,1.0
1577,4431.67,1.0
1585,322.77847,1.0
1590,406.23825,1.0
1592,2797.0532,1.0
1594,2537.1394,1.0
1596,355.67773,1.0
1598,1548.7179,1.0
1603,2739.6262,1.0
1607,1659.0853,1.0
1612,-398.34467,0.0
1627,234.6208,1.0
1629,3914.8833,1.0
1630,564.8579,1.0
1640,829.34283,1.0
1641,5525.7246,1.0
1646,150.03677,1.0
1662,1204.4167,1.0
1668,-159.2127,0.0
1671,719.0134,1.0
1672,1189.8595,1.0
1673,3325.0496,1.0
1686,-367.56427,0.0
1688,4410.379,1.0
1696,352.97372,1.0
1701,706.6333,1.0
1707,1129.252,1.0
1708,-435.68747,0.0
1713,1549.9203,1.0
1715,792.6828,1.0
1717,149.53525,1.0
1721,1281.9803,1.0
1724,3967.1035,1.0
1725,561.649,1.0
1730,2221.1138,1.0
1731,2441.1514,1.0
1734,1622.8391,1.0
1740,-214.6083,0.0
1748,932.0674,1.0
1749,221.04355,1.0
1750,3790.0032,1.0
1763,1629.8281,1.0
1768,832.7239,1.0
1773,2621.521,1.0
1777,611.00824,1.0
1778,2212.4429,1.0
1780,-491.3412,0.0
1782,1054.4736,1.0
1784,864.7002,1.0
1786,446.02985,1.0
1787,1742.3756,1.0
1792,903.0522,1.0
1800,4385.0605,1.0
1801,176.18233,1.0
1803,567.4771,1.0
1804,1868.4493,1.0
1807,98.96264,1.0
1818,1343.6151,1.0
1821,-252.27774,0.0
1822,-22.808842,0.0
1828,-114.48582,0.0
1833,10007.327,1.0
1844,1010.5258,1.0
1847,3048.831,1.0
1850,-137.21587,0.0
1854,1672.9789,1.0
1858,1398.8704,1.0
1864,142.85924,1.0
1867,592.1444,1.0
1876,5496.9546,1.0
1880,408.18707,1.0
1881,595.96625,1.0
1891,316.0371,1.0
1894,303.51605,1.0
1895,50.744892,1.0
1901,356.89148,1.0
1905,-390.80508,0.0
1912,2537.0574,1.0
1918,689.11127,1.0
1921,793.62164,1.0
1923,795.31024,1.0
1924,4369.803,1.0
1931,849.14825,1.0
1941,2569.0063,1.0
1950,-219.81558,0.0
1951,1175.6466,1.0
1954,592.985,1.0
1961,-1291.0227,0.0
1966,1070.4092,1.0
1979,709.4418,1.0
1982,444.04724,1.0
1987,6065.1895,1.0
1997,-51.61778,0.0
2004,-235.0704,0.0
2011,2225.0437,1.0
2015,87.0139,1.0
2025,-59.004227,0.0
2033,1827.9211,1.0
2034,47.11867,1.0
2035,2046.2843,1.0
2036,3024.9727,1.0
2053,10563.175,1.0
2059,9037.841,1.0
2060,-162.39334,0.0
2073,1749.2529,1.0
2084,552.8606,1.0
